Query,Result,Type,Score,Topic match,Score eval
bakdata - quick - rest-api,americanexpress - synapse - rest-api,all,3,1,1
bakdata - quick - rest-api,awslabs - aws-serverless-java-container - rest-api,parameters,2,1,0
bakdata - quick - rest-api,confluentinc - kafka-rest - rest-api,method_names,2,1,0
bakdata - quick - rest-api,endava - cats - rest-api,local_variables,2,1,0
bakdata - quick - rest-api,jonathanmdr - dynamicdatasourcerouting - rest-api,local_variables_split,2,1,0
bakdata - quick - rest-api,redskap - swagger-brake - rest-api,all_split,2,1,0
bakdata - quick - rest-api,rest-assured - rest-assured - rest-api,class_names_split,3,1,1
bakdata - quick - rest-api,ryansusana - elepy - rest-api,parameters_split,1,1,0
bakdata - quick - rest-api,stevespringett - alpine - rest-api,global_variables_split,3,1,1
bakdata - quick - rest-api,swagger-api - swagger-parser - rest-api,class_names,2,1,0
bakdata - quick - rest-api,taz03 - jia - rest-api,global_variables,3,1,1
bakdata - quick - rest-api,zowe - api-layer - rest-api,method_names_split,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-data-jpa-mysql - rest-api,global_variables_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-data-jpa-mysql - rest-api,method_names_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-jpa-postgresql - rest-api,all_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-jpa-postgresql - rest-api,class_names_split,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-jpa-postgresql - rest-api,local_variables,4,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,all,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,class_names,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,local_variables_split,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,method_names,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,parameters,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,bezkoder - spring-boot-unit-test-rest-controller - rest-api,parameters_split,3,1,1
bezkoder - docker-compose-spring-boot-mysql - rest-api,hirannor - spring-boot-hexagonal-architecture - rest-api,global_variables,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,4drian3d - kickredirect - minecraft-plugin,class_names_split,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,arthed-studios - custombiomecolors - minecraft-plugin,local_variables_split,3,1,1
derfrzocker - custom-ore-generator - minecraft-plugin,bluemap-minecraft - bluemap - minecraft-plugin,parameters_split,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,dukke - fxskins - javafx,class_names,1,0,0
derfrzocker - custom-ore-generator - minecraft-plugin,eldoriarpg - schematicbrushreborn - minecraft-plugin,global_variables,3,1,1
derfrzocker - custom-ore-generator - minecraft-plugin,eternalcodeteam - eternalcore - minecraft-plugin,global_variables_split,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,jpenilla - chesscraft - minecraft-plugin,method_names,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,minecraftmedialibrary - ezmediacore - minecraft-plugin,parameters,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,mohistmc - banner - minecraft-plugin,all,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,stellarica - stellarica - minecraft-plugin,all_split,1,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,updated-nocheatplus - nocheatplus - minecraft-plugin,local_variables,2,1,0
derfrzocker - custom-ore-generator - minecraft-plugin,weaponmechanics - mechanicsmain - minecraft-plugin,method_names_split,2,1,0
eclipse-xpanse - xpanse - rest-api,confluentinc - kafka-rest - rest-api,parameters,2,1,0
eclipse-xpanse - xpanse - rest-api,confluentinc - kafka-rest - rest-api,parameters_split,2,1,0
eclipse-xpanse - xpanse - rest-api,discord4j - discord4j - rest-api,all,2,1,0
eclipse-xpanse - xpanse - rest-api,dlsc-software-consulting-gmbh - jfxcentral-data - javafx,method_names_split,1,0,0
eclipse-xpanse - xpanse - rest-api,dspace - dspace - rest-api,class_names_split,1,1,0
eclipse-xpanse - xpanse - rest-api,exadel-inc - compreface - rest-api,all_split,1,1,0
eclipse-xpanse - xpanse - rest-api,gazbert - bxbot - rest-api,local_variables,1,1,0
eclipse-xpanse - xpanse - rest-api,kangarko - foundation - minecraft-plugin,global_variables,1,0,0
eclipse-xpanse - xpanse - rest-api,miltonhit - hub_correios_api - rest-api,method_names,1,1,0
eclipse-xpanse - xpanse - rest-api,stevespringett - alpine - rest-api,class_names,2,1,0
eclipse-xpanse - xpanse - rest-api,technolords - microservice-mock - rest-api,local_variables_split,1,1,0
eclipse-xpanse - xpanse - rest-api,zowe - api-layer - rest-api,global_variables_split,3,1,1
filestack - filestack-android - android,awslabs - aws-sdk-android-samples - android,class_names,3,1,1
filestack - filestack-android - android,butzist - activitylauncher - android,class_names_split,2,1,0
filestack - filestack-android - android,butzist - activitylauncher - android,global_variables_split,2,1,0
filestack - filestack-android - android,butzist - activitylauncher - android,local_variables,2,1,0
filestack - filestack-android - android,codinguser - gnucash-android - android,parameters,2,1,0
filestack - filestack-android - android,gentlecat - counter - android,method_names_split,2,1,0
filestack - filestack-android - android,jcarolus - android-chess - android,all,1,1,0
filestack - filestack-android - android,jimseker - ui - android,local_variables_split,2,1,0
filestack - filestack-android - android,mathisdt - trackworktime - android,all_split,2,1,0
filestack - filestack-android - android,opentok - opentok-android-sdk-samples - android,method_names,2,1,0
filestack - filestack-android - android,robolectric - robolectric - android,global_variables,1,1,0
filestack - filestack-android - android,sreichholf - dreamdroid - android,parameters_split,2,1,0
fxmisc - flowless - javafx,eckig - graph-editor - javafx,parameters,3,1,1
fxmisc - flowless - javafx,fxmisc - richtextfx - javafx,class_names_split,3,1,1
fxmisc - flowless - javafx,gluonhq - maps - javafx,all_split,3,1,1
fxmisc - flowless - javafx,jcarolus - android-chess - android,class_names,1,0,0
fxmisc - flowless - javafx,mkpaz - atlantafx - javafx,parameters_split,3,1,1
fxmisc - flowless - javafx,redfx-quantum - strangefx - javafx,local_variables,2,1,0
fxmisc - flowless - javafx,sandec - jmemorybuddy - javafx,method_names,1,1,0
fxmisc - flowless - javafx,scorelab - imagelab - javafx,global_variables,1,1,0
fxmisc - flowless - javafx,sharaf-qeshta - Introduction-to-Java-Programming-and-Data-Structures-Comprehensive-Version-Eleventh-Edition-Global- - javafx,all,3,1,1
fxmisc - flowless - javafx,typhon0 - animatefx - javafx,local_variables_split,3,1,1
fxmisc - flowless - javafx,webfx-project - webfx - javafx,global_variables_split,3,1,1
fxmisc - flowless - javafx,webfx-project - webfx - javafx,method_names_split,3,1,1
fxmisc - richtextfx - javafx,0x4a616e - nsmenufx - javafx,local_variables,2,1,0
fxmisc - richtextfx - javafx,carlosrafaelgn - fplayandroid - android,class_names,1,0,0
fxmisc - richtextfx - javafx,fjwright - run-reduce - javafx,local_variables_split,2,1,0
fxmisc - richtextfx - javafx,gluonhq - maps - javafx,parameters_split,3,1,1
fxmisc - richtextfx - javafx,googlemaps - android-maps-utils - android,all_split,1,0,0
fxmisc - richtextfx - javafx,iamgio - animated - javafx,class_names_split,3,1,1
fxmisc - richtextfx - javafx,jfree - jfreechart - javafx,global_variables_split,3,1,1
fxmisc - richtextfx - javafx,joffrey-bion - fx-gson - javafx,global_variables,2,1,0
fxmisc - richtextfx - javafx,santulator - santulator - javafx,method_names,2,1,0
fxmisc - richtextfx - javafx,teamdev-ip - jxbrowser-examples - javafx,method_names_split,3,1,1
fxmisc - richtextfx - javafx,triplehelixprogramming - helixnavigator - javafx,parameters,2,1,0
fxmisc - richtextfx - javafx,vocabhunter - vocabhunter - javafx,all,2,1,0
graphhopper - jsprit - algorithm,b1urrrr - Algorithm-Study - algorithm,all,3,1,1
graphhopper - jsprit - algorithm,bumptech - glide - android,local_variables,1,0,0
graphhopper - jsprit - algorithm,cirdles - squid - javafx,parameters,1,0,0
graphhopper - jsprit - algorithm,gdut-yy - leetcode-hub-java - algorithm,all_split,3,1,1
graphhopper - jsprit - algorithm,jelmerk - hnswlib - algorithm,class_names,3,1,1
graphhopper - jsprit - algorithm,joffrey-bion - fx-gson - javafx,method_names,1,0,0
graphhopper - jsprit - algorithm,microg - unifiednlp - android,parameters_split,1,0,0
graphhopper - jsprit - algorithm,optimatika - ojalgo - algorithm,local_variables_split,2,1,0
graphhopper - jsprit - algorithm,osandadeshan - maxsoft-intelliapi - rest-api,global_variables_split,1,0,0
graphhopper - jsprit - algorithm,piomin - sample-microservices-protobuf - rest-api,method_names_split,1,0,0
graphhopper - jsprit - algorithm,querz - mcaselector - javafx,global_variables,1,0,0
graphhopper - jsprit - algorithm,redfx-quantum - strangefx - javafx,class_names_split,1,0,0
iandarwin - android-cookbook-examples - android,billthefarmer - tuner - android,class_names,2,1,0
iandarwin - android-cookbook-examples - android,gentlecat - opennms-android-client - android,parameters,2,1,0
iandarwin - android-cookbook-examples - android,jimseker - bluetooth - android,all,3,1,1
iandarwin - android-cookbook-examples - android,nextcloud - news-android - android,local_variables_split,2,1,0
iandarwin - android-cookbook-examples - android,nvdweem - pcpanel - javafx,global_variables_split,2,0,0
iandarwin - android-cookbook-examples - android,open-keychain - open-keychain - android,local_variables,2,1,0
iandarwin - android-cookbook-examples - android,stacktipslab - android-ui-tutorials - android,class_names_split,4,1,1
iandarwin - android-cookbook-examples - android,syncthing - syncthing-android - android,method_names,2,1,0
iandarwin - android-cookbook-examples - android,syncthing - syncthing-android - android,method_names_split,2,1,0
iandarwin - android-cookbook-examples - android,syncthing - syncthing-android - android,parameters_split,2,1,0
iandarwin - android-cookbook-examples - android,tambapps - p2p-file-sharing - javafx,all_split,1,0,0
iandarwin - android-cookbook-examples - android,uwetrottmann - tmdb-java - android,global_variables,2,1,0
insightsplugin - insights - minecraft-plugin,apavarino - deadchest - minecraft-plugin,parameters,3,1,1
insightsplugin - insights - minecraft-plugin,arcaneplugins - levelledmobs - minecraft-plugin,class_names_split,3,1,1
insightsplugin - insights - minecraft-plugin,cerus - maps - minecraft-plugin,global_variables,3,1,1
insightsplugin - insights - minecraft-plugin,dailystruggle - rtp - minecraft-plugin,parameters_split,3,1,1
insightsplugin - insights - minecraft-plugin,derfrzocker - custom-ore-generator - minecraft-plugin,local_variables_split,3,1,1
insightsplugin - insights - minecraft-plugin,hexaoxide - carbon - minecraft-plugin,class_names,3,1,1
insightsplugin - insights - minecraft-plugin,jpenilla - squaremap - minecraft-plugin,global_variables_split,4,1,1
insightsplugin - insights - minecraft-plugin,kernitus - bukkitoldcombatmechanics - minecraft-plugin,all,3,1,1
insightsplugin - insights - minecraft-plugin,magiccheese1 - damage-indicator - minecraft-plugin,method_names_split,3,1,1
insightsplugin - insights - minecraft-plugin,marcusslover - plus - minecraft-plugin,method_names,2,1,0
insightsplugin - insights - minecraft-plugin,mouse0w0 - law - minecraft-plugin,all_split,4,1,1
insightsplugin - insights - minecraft-plugin,updated-nocheatplus - nocheatplus - minecraft-plugin,local_variables,3,1,1
jenkinsci - graphql-server-plugin - rest-api,castlemock - castlemock - rest-api,class_names,2,1,0
jenkinsci - graphql-server-plugin - rest-api,cdancy - jenkins-rest - rest-api,method_names,3,1,1
jenkinsci - graphql-server-plugin - rest-api,chesterbr - minitruco-android - android,global_variables,1,0,0
jenkinsci - graphql-server-plugin - rest-api,confluentinc - kafka-rest - rest-api,all_split,3,1,1
jenkinsci - graphql-server-plugin - rest-api,confluentinc - schema-registry - rest-api,local_variables,2,1,0
jenkinsci - graphql-server-plugin - rest-api,dmx-systems - dmx-platform - rest-api,parameters,2,1,0
jenkinsci - graphql-server-plugin - rest-api,isa-group - restest - rest-api,global_variables_split,2,1,0
jenkinsci - graphql-server-plugin - rest-api,katsutedev - mal4j - rest-api,all,2,1,0
jenkinsci - graphql-server-plugin - rest-api,martingeisse - grumpyrest - rest-api,local_variables_split,3,1,1
jenkinsci - graphql-server-plugin - rest-api,networknt - light-rest-4j - rest-api,method_names_split,2,1,0
jenkinsci - graphql-server-plugin - rest-api,parubok - swing-fx-properties - javafx,class_names_split,1,0,0
jenkinsci - graphql-server-plugin - rest-api,redskap - swagger-brake - rest-api,parameters_split,2,1,0
jiro4989 - mvtexteditor - javafx,amirali-az - periodictable - javafx,all_split,3,1,1
jiro4989 - mvtexteditor - javafx,bykka - dynamoit - javafx,class_names_split,3,1,1
jiro4989 - mvtexteditor - javafx,dropsnorz - owlplug - javafx,method_names,2,1,0
jiro4989 - mvtexteditor - javafx,esri - java-maven-starter-project - javafx,class_names,2,1,0
jiro4989 - mvtexteditor - javafx,gluonhq - scenebuilder - javafx,local_variables_split,2,1,0
jiro4989 - mvtexteditor - javafx,lanthale - photoslide - javafx,global_variables_split,3,1,1
jiro4989 - mvtexteditor - javafx,lanthale - photoslide - javafx,local_variables,3,1,1
jiro4989 - mvtexteditor - javafx,qdrzwd - videorecorder - android,parameters_split,2,0,0
jiro4989 - mvtexteditor - javafx,satergo - satergo - javafx,global_variables,2,1,0
jiro4989 - mvtexteditor - javafx,scorelab - imagelab - javafx,all,3,1,1
jiro4989 - mvtexteditor - javafx,valkryst - schillsaver - javafx,method_names_split,3,1,1
jiro4989 - mvtexteditor - javafx,Zev-G - JfxIDE - javafx,parameters,2,1,0
kaspiandev - antipopup - minecraft-plugin,4drian3d - VPacketEvents - minecraft-plugin,local_variables,4,1,1
kaspiandev - antipopup - minecraft-plugin,acekiron - pronounmc - minecraft-plugin,global_variables,3,1,1
kaspiandev - antipopup - minecraft-plugin,discord-jda - jda - rest-api,global_variables_split,2,0,0
kaspiandev - antipopup - minecraft-plugin,ericyoondotcom - minecraftmanhunt - minecraft-plugin,parameters,3,1,1
kaspiandev - antipopup - minecraft-plugin,ericyoondotcom - minecraftmanhunt - minecraft-plugin,parameters_split,3,1,1
kaspiandev - antipopup - minecraft-plugin,georgh93 - minepacks - minecraft-plugin,all_split,3,1,1
kaspiandev - antipopup - minecraft-plugin,hibiscusmc - hmccosmetics - minecraft-plugin,all,3,1,1
kaspiandev - antipopup - minecraft-plugin,illtamer - infinitebot3 - minecraft-plugin,method_names,2,1,0
kaspiandev - antipopup - minecraft-plugin,realheart - zmusic - minecraft-plugin,method_names_split,2,1,0
kaspiandev - antipopup - minecraft-plugin,sb2bg - customdeathmessages - minecraft-plugin,class_names,4,1,1
kaspiandev - antipopup - minecraft-plugin,simplexity-development - archive-villagerinfo - minecraft-plugin,class_names_split,3,1,1
kaspiandev - antipopup - minecraft-plugin,skoice - skoice - minecraft-plugin,local_variables_split,3,1,1
piomin - sample-microservices-protobuf - rest-api,alanbinu007 - spring-boot-advanced-projects - rest-api,parameters,4,1,1
piomin - sample-microservices-protobuf - rest-api,almasb - fxglgames - javafx,class_names,1,0,0
piomin - sample-microservices-protobuf - rest-api,finnfu - stepcount - algorithm,local_variables,1,0,0
piomin - sample-microservices-protobuf - rest-api,graphhopper - jsprit - algorithm,method_names_split,1,0,0
piomin - sample-microservices-protobuf - rest-api,guto-alves - loterias-api - rest-api,parameters_split,1,1,0
piomin - sample-microservices-protobuf - rest-api,larmic - spring-boot-demos - rest-api,global_variables,4,1,1
piomin - sample-microservices-protobuf - rest-api,maritimeconnectivity - identityregistry - rest-api,all,2,1,0
piomin - sample-microservices-protobuf - rest-api,miltonhit - hub_correios_api - rest-api,global_variables_split,1,1,0
piomin - sample-microservices-protobuf - rest-api,nextcloud - android-singlesignon - android,local_variables_split,1,0,0
piomin - sample-microservices-protobuf - rest-api,piomin - sample-karaf-cxf-microservices - rest-api,class_names_split,4,1,1
piomin - sample-microservices-protobuf - rest-api,piomin - sample-karaf-cxf-microservices - rest-api,method_names,4,1,1
piomin - sample-microservices-protobuf - rest-api,zoltanvin - royal-reserve-bank - rest-api,all_split,3,1,1
powernetworkhub - powerranks - minecraft-plugin,bentoboxworld - bentobox - minecraft-plugin,local_variables,3,1,1
powernetworkhub - powerranks - minecraft-plugin,carmjos - userprefix - minecraft-plugin,all_split,4,1,1
powernetworkhub - powerranks - minecraft-plugin,errored-innovations - headsplus - minecraft-plugin,class_names,3,1,1
powernetworkhub - powerranks - minecraft-plugin,Flectone - FlectoneChat - minecraft-plugin,local_variables_split,4,1,1
powernetworkhub - powerranks - minecraft-plugin,Flectone - FlectoneChat - minecraft-plugin,method_names_split,4,1,1
powernetworkhub - powerranks - minecraft-plugin,gamerjoep - minetopiavehicles - minecraft-plugin,method_names,3,1,1
powernetworkhub - powerranks - minecraft-plugin,georgh93 - minepacks - minecraft-plugin,parameters_split,3,1,1
powernetworkhub - powerranks - minecraft-plugin,itzamirreza - ezchestshop - minecraft-plugin,class_names_split,3,1,1
powernetworkhub - powerranks - minecraft-plugin,lmbishop - quests - minecraft-plugin,parameters,3,1,1
powernetworkhub - powerranks - minecraft-plugin,phybros - servertap - minecraft-plugin,global_variables_split,3,1,1
powernetworkhub - powerranks - minecraft-plugin,rutgerkok - betterenderchest - minecraft-plugin,all,4,1,1
powernetworkhub - powerranks - minecraft-plugin,serverselectorx - serverselectorx - minecraft-plugin,global_variables,3,1,1
purpurmc - purpurextras - minecraft-plugin,authme - authmereloaded - minecraft-plugin,method_names_split,3,1,1
purpurmc - purpurextras - minecraft-plugin,errored-innovations - headsplus - minecraft-plugin,parameters_split,3,1,1
purpurmc - purpurextras - minecraft-plugin,itzamirreza - ezchestshop - minecraft-plugin,local_variables_split,3,1,1
purpurmc - purpurextras - minecraft-plugin,jpenilla - minimotd - minecraft-plugin,global_variables,3,1,1
purpurmc - purpurextras - minecraft-plugin,ka0un - OPProtector - minecraft-plugin,all,3,1,1
purpurmc - purpurextras - minecraft-plugin,pedrojm96 - superlobbydeluxe - minecraft-plugin,method_names,3,1,1
purpurmc - purpurextras - minecraft-plugin,sb2bg - customdeathmessages - minecraft-plugin,class_names_split,3,1,1
purpurmc - purpurextras - minecraft-plugin,seanomik - tamablefoxes - minecraft-plugin,global_variables_split,3,1,1
purpurmc - purpurextras - minecraft-plugin,seanomik - tamablefoxes - minecraft-plugin,local_variables,3,1,1
purpurmc - purpurextras - minecraft-plugin,skoice - skoice - minecraft-plugin,class_names,2,1,0
purpurmc - purpurextras - minecraft-plugin,wisdommen - ultitools - minecraft-plugin,parameters,4,1,1
purpurmc - purpurextras - minecraft-plugin,zeshan321 - actionhealth - minecraft-plugin,all_split,3,1,1
signomix - signomix - rest-api,andy-goryachev - fxeditor - javafx,class_names,2,0,0
signomix - signomix - rest-api,authzforce - restful-pdp - rest-api,method_names_split,2,1,0
signomix - signomix - rest-api,crossbario - autobahn-java - android,parameters_split,2,0,0
signomix - signomix - rest-api,erudika - para - rest-api,local_variables,2,1,0
signomix - signomix - rest-api,mixeway - mixewaybackend - rest-api,parameters,2,1,0
signomix - signomix - rest-api,nextcloud - android-singlesignon - android,all_split,1,0,0
signomix - signomix - rest-api,phoenicisorg - phoenicis - javafx,global_variables_split,1,0,0
signomix - signomix - rest-api,piomin - sample-quarkus-microservices-consul - rest-api,all,2,1,0
signomix - signomix - rest-api,ryansusana - elepy - rest-api,global_variables,2,1,0
signomix - signomix - rest-api,stevespringett - alpine - rest-api,local_variables_split,2,1,0
signomix - signomix - rest-api,townyadvanced - townyprovinces - minecraft-plugin,class_names_split,1,0,0
signomix - signomix - rest-api,tuya - tuya-connector - rest-api,method_names,4,1,1
tomeraberbach - mano-simulator - javafx,adoptopenjdk - jitwatch - javafx,all,2,1,0
tomeraberbach - mano-simulator - javafx,binjr - binjr - javafx,method_names_split,2,1,0
tomeraberbach - mano-simulator - javafx,brunoeberhard - minimal-j - rest-api,all_split,3,0,1
tomeraberbach - mano-simulator - javafx,bumptech - glide - android,global_variables,1,0,0
tomeraberbach - mano-simulator - javafx,hervegirod - fxsvgimage - javafx,class_names,2,1,0
tomeraberbach - mano-simulator - javafx,jabref - jabref - javafx,global_variables_split,1,1,0
tomeraberbach - mano-simulator - javafx,jelmerk - hnswlib - algorithm,parameters,2,0,0
tomeraberbach - mano-simulator - javafx,realheart - zmusic - minecraft-plugin,parameters_split,1,0,0
tomeraberbach - mano-simulator - javafx,valkryst - schillsaver - javafx,method_names,2,1,0
tomeraberbach - mano-simulator - javafx,winston-dsouza - Online-Food-Ordering-System - javafx,local_variables_split,1,1,0
tomeraberbach - mano-simulator - javafx,xedziu - keepmypassword-desktop - javafx,class_names_split,1,1,0
tomeraberbach - mano-simulator - javafx,xedziu - keepmypassword-desktop - javafx,local_variables,1,1,0
wizzdi - flexicore - rest-api,apickledwalrus - skript-placeholders - minecraft-plugin,method_names_split,2,0,0
wizzdi - flexicore - rest-api,aws-amplify - aws-sdk-android - android,class_names_split,2,0,0
wizzdi - flexicore - rest-api,brunoeberhard - minimal-j - rest-api,local_variables_split,1,1,0
wizzdi - flexicore - rest-api,dec4234 - javadestinyapi - rest-api,all_split,2,1,0
wizzdi - flexicore - rest-api,dmx-systems - dmx-platform - rest-api,parameters_split,2,1,0
wizzdi - flexicore - rest-api,elimu-ai - webapp - rest-api,global_variables,1,1,0
wizzdi - flexicore - rest-api,elimu-ai - webapp - rest-api,global_variables_split,1,1,0
wizzdi - flexicore - rest-api,hibiscusmc - hmccosmetics - minecraft-plugin,method_names,1,0,0
wizzdi - flexicore - rest-api,maxmaeder - drivebackupv2 - minecraft-plugin,all,1,0,0
wizzdi - flexicore - rest-api,nuytemans-dieter - bettersleeping - minecraft-plugin,class_names,1,0,0
wizzdi - flexicore - rest-api,toolgood - toolgood.algorithm - algorithm,parameters,2,0,0
wizzdi - flexicore - rest-api,xenondevs - nova - minecraft-plugin,local_variables,2,0,0
youhavetrouble - commandwhitelist - minecraft-plugin,0pandadev - nextron - minecraft-plugin,class_names_split,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,4drian3d - epicguard - minecraft-plugin,global_variables,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,4drian3d - kickredirect - minecraft-plugin,global_variables_split,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,georgh93 - marriagemaster - minecraft-plugin,all_split,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,georgh93 - marriagemaster - minecraft-plugin,parameters,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,jpenilla - minimotd - minecraft-plugin,class_names,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,jpenilla - wanderingtrades - minecraft-plugin,parameters_split,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,kennytv - maintenance - minecraft-plugin,method_names_split,4,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,niklasei - gamebox - minecraft-plugin,all,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,niklasei - gamebox - minecraft-plugin,local_variables_split,3,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,pedrojm96 - superlobbydeluxe - minecraft-plugin,method_names,4,1,1
youhavetrouble - commandwhitelist - minecraft-plugin,samb440 - forcepack - minecraft-plugin,local_variables,3,1,1